Category,Question,Response,Age,Gender,RaceEthnicity,RiskFactor,RiskFactorResponse,Sample_Size
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,All genders,Other,Smoking,Yes,155
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,12-17 years,Male,Other,Diabetes,No,54
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,Female,"Black, non-Hispanic",Diabetes,No,476
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Female,All races,Smoking,Yes,1511
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,All genders,Other,Diabetes,No,130
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,65-79 years,All genders,Other,Diabetes,Yes,37
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Female,"Black, non-Hispanic",Smoking,No,644
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,Male,"Black, non-Hispanic",Hypertension,No,439
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,All genders,"Black, non-Hispanic",Smoking,No,169
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,80 years and older,All genders,All races,Smoking,No,852
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,Female,All races,Smoking,No,1180
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,All genders,"Black, non-Hispanic",All participants,Total,2375
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,Male,"White, non-Hispanic",Diabetes,No,724
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Female,"White, non-Hispanic",Diabetes,No,812
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Male,"White, non-Hispanic",Hypertension,Yes,216
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,12-17 years,Female,Other,Diabetes,No,45
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,All genders,Other,All participants,Total,495
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,All genders,"Black, non-Hispanic",Smoking,No,1030
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,65-79 years,Female,All races,Diabetes,Yes,560
